MeterType,MeterSerial,UtilityName,UtilityGroup,LineConnected,MeterName,UomScale,UomName,SystemName,SystemCode,Description,SampleValues
BLTH,2,Fryer,UTL,Temperature,Food Safety Temp,°F,Temprature,Food Safety And Standards,FSAS01,Fryer | Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"43.4, 80.8, 339.0"
30,55,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,66,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,67,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,68,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,69,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,70,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,71,Geyser,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Geyser | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.02, 0.09, 0.14"
30,66,Griller,UTL,KVAH,Load Meter,KVAH,Kilo Volt Amp Hour,Load Meter,LM01,Griller | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"0.03, 0.03, 0.01"
BLTH,4,Griller,UTL,Device ID,Food Safety Temp,RFID,RFID,Food Safety And Standards,FSAS01,Griller | RFID Device ID — Unique identifier of the RFID scanner used for food safety temperature logging; links readings to a specific device,null
BLTH,4,Griller,UTL,Remarks,Food Safety Temp,Text,Text,Food Safety And Standards,FSAS01,Griller | Food Safety Remarks — Free-form text notes or comments logged during food safety temperature checks,null
BLTH,4,Griller,UTL,Temperature,Food Safety Temp,°F,Temprature,Food Safety And Standards,FSAS01,Griller | Temperature Reading (°C) — Ambient or cold room temperature; used for refrigeration and kitchen area monitoring,"413.9, 80.7"
30,60,Griller N.Veg,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Griller N.Veg | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.16, 0.24, 0.16"
30,68,Griller N.Veg,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Griller N.Veg | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.16, 0.24, 0.16"
30,69,Griller N.Veg,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Griller N.Veg | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.16, 0.24, 0.16"
30,70,Griller N.Veg,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Griller N.Veg | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.16, 0.24, 0.16"
30,71,Griller N.Veg,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Griller N.Veg | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.16, 0.24, 0.16"
30,73,Griller N.Veg,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Griller N.Veg | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.16, 0.24, 0.16"
30,69,Grinder,UTL,KVAH,Load Meter,KVAH,Kilo Volt Amp Hour,Load Meter,LM01,Grinder | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"0.03, 0.03, 0.04"
30,69,Grinder,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"Grinder | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.01, 0.01, 0.01"
2,1,HVAC,UTL,PF,Electricity,PF,Power Factor,Electricity Monitoring,ELEC01,HVAC | Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.69, 0.51, 0.66"
2,1,HVAC,UTL,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"6.18, 1.66, 1.81"
2,1,HVAC,UTL,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
2,2,HVAC,UTL,KVA,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,HVAC | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"5.89, 1.6, 0.58"
2,2,HVAC,UTL,KVAH,Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,HVAC | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"6.72, 2.04, 0.1"
2,2,HVAC,UTL,PF,Electricity,PF,Power Factor,Electricity Monitoring,ELEC01,HVAC | Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.69, 0.51, 0.66"
2,2,HVAC,UTL,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"6.18, 1.66, 1.81"
2,2,HVAC,UTL,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
2,3,HVAC,UTL,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"6.18, 1.66, 1.81"
2,3,HVAC,UTL,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
2,4,HVAC,UTL,KVA,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,HVAC | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"5.89, 1.6, 0.58"
2,4,HVAC,UTL,KVAH,Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,HVAC | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"6.72, 2.04, 0.1"
2,4,HVAC,UTL,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"6.18, 1.66, 1.81"
2,4,HVAC,UTL,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
2,5,HVAC,UTL,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"6.18, 1.66, 1.81"
2,5,HVAC,UTL,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
2,6,HVAC,UTL,KVA,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,HVAC | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"5.89, 1.6, 0.58"
2,6,HVAC,UTL,KVAH,Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,HVAC | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"6.72, 2.04, 0.1"
2,6,HVAC,UTL,kW,Electricity,kW,Kilowatt,Electricity Monitoring,ELEC01,HVAC | Active Power Demand — Instantaneous real power being drawn at any given moment,"6.18, 1.66, 1.81"
2,6,HVAC,UTL,kWh,Electricity,kWh,Kilowatt Hour,Electricity Monitoring,ELEC01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
17,255,HVAC,UTL,Manual Counter,HVAC  ,No,Count,Air Handling Unit System,AHUS01,"HVAC | Manual Counter — Counts manual events or operations (e.g. door opens, manual resets); used for activity and intervention tracking","1.0, -11.0, 1.0"
17,256,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,256,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,256,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,256,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,256,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,256,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,256,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,256,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
17,257,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,257,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,257,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,257,HVAC,UTL,DeltaT Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.2, 0.2, 0.2"
17,257,HVAC,UTL,Filter Pressure,HVAC  ,Pa,Differential Pressure,Air Handling Unit System,AHUS01,HVAC | Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"68.6, 0.2, 0.3"
17,257,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,257,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,257,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,257,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,257,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
17,258,HVAC,UTL,Actuator FB,HVAC  ,%,Percentage,Air Handling Unit System,AHUS01,HVAC | Actuator Feedback — Percentage opening of the control valve (0–100%); indicates how much the actuator is modulating cooling or heating flow,null
17,258,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,258,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,258,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,258,HVAC,UTL,DeltaT Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"0.2, 0.2, 0.2"
17,258,HVAC,UTL,Filter Pressure,HVAC  ,Pa,Differential Pressure,Air Handling Unit System,AHUS01,HVAC | Filter Differential Pressure (Pa) — Pressure drop across the air filter; rising values indicate a clogged filter and reduced airflow efficiency,"68.6, 0.2, 0.3"
17,258,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,258,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,258,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,258,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,258,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
17,259,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,259,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,259,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,259,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,259,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,259,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,259,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,259,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
17,260,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,260,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,260,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,260,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,260,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,260,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,260,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,260,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
17,261,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,261,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,261,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,261,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,261,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,261,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,261,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,261,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
17,262,HVAC,UTL,Comp RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
17,262,HVAC,UTL,Cooling Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
17,262,HVAC,UTL,Delta T Air,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
17,262,HVAC,UTL,Return Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
17,262,HVAC,UTL,Set Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
17,262,HVAC,UTL,Supply Air Temp,HVAC  ,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
17,262,HVAC,UTL,Unit RHT,HVAC  ,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
17,262,HVAC,UTL,Unit Status,HVAC  ,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
30,66,HVAC,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
30,67,HVAC,UTL,kWh,Load Meter,kWh,Kilowatt Hour,Load Meter,LM01,"HVAC | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","0.19, 4.7, 1.98"
DX01,256,HVAC,UTL,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
DX01,256,HVAC,UTL,Comp Status,AC DX,Num,Number,Air Handling Unit System,AHUS01,"HVAC | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0"
DX01,256,HVAC,UTL,Comp Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0"
DX01,256,HVAC,UTL,Cooling Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
DX01,256,HVAC,UTL,Delta T Air,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Delta T Air (°C) — Temperature difference between supply and return air; ideal range 10–15°C; low value indicates poor cooling efficiency,"13.1, 14.8, 13.5"
DX01,256,HVAC,UTL,Return Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Return Air Temperature (°C) — Temperature of air returning from the space back to the HVAC unit; difference from Supply Air Temp = Delta T,"30.3, 29.9, 24.3"
DX01,256,HVAC,UTL,Set Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Set Point Temperature (°C) — Target temperature programmed for the unit; deviation from this value means the system is not meeting cooling demand,"24.0, 24.0, 26.0"
DX01,256,HVAC,UTL,Status FB,AC DX,Num,Number,Air Handling Unit System,AHUS01,"HVAC | Status Feedback — Actual operating status reported back from the unit (1 = Active, 0 = Inactive); confirms that control commands were executed correctly","1.0, 1.0, 1.0"
DX01,256,HVAC,UTL,Supply Air Temp,AC DX,°C,Temperature,Air Handling Unit System,AHUS01,HVAC | Supply Air Temperature (°C) — Temperature of conditioned air delivered to the space; used with Return Air Temp to calculate Delta T cooling efficiency,"11.5, 16.2, 17.2"
DX01,256,HVAC,UTL,Unit RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Unit Run Hours Today — Total hours the unit has operated today; used for daily performance monitoring and preventive maintenance scheduling,"20.0, 20.0, 20.0"
DX01,256,HVAC,UTL,Unit Status,AC DX,Num,Number,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
DX01,256,HVAC,UTL,Unit Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Unit Status — Overall operating state of the unit (1 = Running, 0 = Stopped); used for uptime tracking and fault detection","1.0, 1.0, 1.0"
DX01,257,HVAC,UTL,Comp RHT,AC DX,Min,Run Time Min,Air Handling Unit System,AHUS01,HVAC | Compressor Run Hours Today — Total hours the main compressor has run in the current day; used for load monitoring and maintenance scheduling,"20.0, 13.0, 24.0"
DX01,257,HVAC,UTL,Comp Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0"
DX01,257,HVAC,UTL,Comp Status,AC DX,Num,Number,Air Handling Unit System,AHUS01,"HVAC | Compressor Status — Operating state of the compressor (1 = Running, 0 = Stopped); tracks uptime and on/off cycles","1.0, 1.0, 1.0"
DX01,257,HVAC,UTL,Cooling Status,AC DX,ON/OFF,Status,Air Handling Unit System,AHUS01,"HVAC | Cooling System Status — Overall operational state of the cooling system (1 = Active, 0 = Inactive)","1.0, 1.0, 1.0"
